"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Jun-2023","EQ","635.00","636.25","623.10","631.30","627.00","627.95","628.48","778.90","502.00","5,88,999","37,01,71,985.35","12,139"
"19-Jun-2023","EQ","632.00","637.60","628.65","630.35","630.80","631.30","631.27","778.90","502.00","4,29,915","27,13,90,518.25","8,427"
"16-Jun-2023","EQ","650.50","654.90","627.05","639.55","631.00","630.35","638.25","778.90","502.00","10,09,778","64,44,93,865.90","24,054"
"15-Jun-2023","EQ","620.00","643.80","620.00","619.95","638.80","639.55","632.29","778.90","502.00","11,51,271","72,79,34,569.80","24,483"
"14-Jun-2023","EQ","621.00","625.00","618.65","620.55","620.00","619.95","620.47","778.90","502.00","2,99,856","18,60,51,231.40","8,576"
"13-Jun-2023","EQ","625.30","625.30","618.20","622.05","621.00","620.55","620.99","778.90","502.00","1,60,407","9,96,10,770.05","6,884"
"12-Jun-2023","EQ","623.80","625.95","616.60","623.80","622.00","622.05","620.64","778.90","502.00","3,91,878","24,32,16,730.10","13,356"
"09-Jun-2023","EQ","625.50","625.85","621.00","623.25","622.50","623.80","623.91","778.90","502.00","3,01,054","18,78,31,960.50","5,936"
"08-Jun-2023","EQ","628.00","628.40","620.85","622.45","623.50","623.25","623.73","778.90","502.00","2,63,258","16,42,01,911.15","7,916"
"07-Jun-2023","EQ","620.40","625.40","620.35","620.30","622.50","622.45","623.07","778.90","502.00","2,71,111","16,89,21,144.80","7,903"
"06-Jun-2023","EQ","631.00","634.45","619.00","630.70","619.50","620.30","626.83","778.90","502.00","8,86,858","55,59,08,108.10","19,082"
"05-Jun-2023","EQ","634.90","644.40","628.00","627.80","631.00","630.70","634.84","778.90","502.00","5,52,968","35,10,47,046.60","16,617"
"02-Jun-2023","EQ","625.00","636.30","623.15","622.95","628.85","627.80","628.35","778.90","502.00","11,14,400","70,02,38,029.30","24,647"
"01-Jun-2023","EQ","623.90","634.00","618.90","618.80","625.00","622.95","625.00","778.90","502.00","6,63,142","41,44,66,007.15","21,130"
"31-May-2023","EQ","623.55","626.80","615.75","619.50","619.95","618.80","620.88","778.90","502.00","5,45,569","33,87,31,726.00","17,179"
"30-May-2023","EQ","649.80","649.80","615.50","633.10","619.00","619.50","631.11","778.90","502.00","10,55,388","66,60,68,918.00","27,574"
"29-May-2023","EQ","637.75","659.70","629.10","629.80","636.00","633.10","643.12","778.90","502.00","20,29,363","1,30,51,29,057.85","42,422"
"26-May-2023","EQ","622.00","640.00","617.40","620.55","639.50","629.80","630.58","778.90","502.00","2,70,892","17,08,19,269.50","9,689"
"25-May-2023","EQ","619.00","625.00","609.15","618.35","620.00","620.55","618.64","778.90","502.00","2,50,608","15,50,35,222.15","7,662"
"24-May-2023","EQ","620.10","624.45","616.95","620.10","620.60","618.35","619.97","778.90","502.00","64,082","3,97,28,674.80","3,208"
"23-May-2023","EQ","617.15","630.00","617.15","619.55","620.50","620.10","620.82","778.90","502.00","59,182","3,67,41,316.45","3,124"
"22-May-2023","EQ","617.95","628.70","616.00","617.85","618.00","619.55","622.61","778.90","502.00","1,42,462","8,86,98,466.10","15,845"
"19-May-2023","EQ","624.00","625.00","615.00","625.50","617.40","617.85","618.47","778.90","502.00","1,17,931","7,29,36,515.15","4,682"
"18-May-2023","EQ","622.60","631.00","622.40","622.40","625.90","625.50","626.12","778.90","502.00","1,34,666","8,43,16,676.10","5,882"
"17-May-2023","EQ","626.00","630.00","615.50","625.10","621.45","622.40","621.30","778.90","502.00","1,15,267","7,16,15,349.05","4,610"
"16-May-2023","EQ","630.00","640.20","620.50","630.30","625.00","625.10","630.40","778.90","502.00","2,28,394","14,39,79,072.95","10,027"
"15-May-2023","EQ","620.25","633.00","615.25","623.30","630.70","630.30","622.08","778.90","502.00","2,07,062","12,88,09,767.10","9,907"
"12-May-2023","EQ","636.00","640.50","620.05","637.90","622.30","623.30","628.74","778.90","502.00","1,96,234","12,33,80,406.35","9,009"
"11-May-2023","EQ","649.00","649.95","633.00","648.75","636.50","637.90","641.65","778.90","502.00","10,93,213","70,14,62,347.20","28,637"
"10-May-2023","EQ","620.00","654.00","614.25","621.05","648.00","648.75","636.00","778.90","502.00","14,00,976","89,10,13,920.20","25,788"
"09-May-2023","EQ","615.00","624.00","610.00","614.95","621.00","621.05","614.61","778.90","502.00","12,09,267","74,32,25,886.65","22,761"
"08-May-2023","EQ","610.00","618.00","606.15","608.00","615.00","614.95","611.71","778.90","502.00","16,60,683","1,01,58,55,904.25","24,855"
"05-May-2023","EQ","588.70","619.40","588.70","593.25","606.55","608.00","609.03","802.30","502.00","11,95,611","72,81,64,973.65","27,968"
"04-May-2023","EQ","585.40","599.50","584.65","584.65","592.50","593.25","593.14","802.30","502.00","5,16,847","30,65,61,355.95","13,322"
"03-May-2023","EQ","583.95","585.00","580.20","583.95","584.00","584.65","582.97","802.30","502.00","4,42,246","25,78,17,333.75","6,934"
"02-May-2023","EQ","579.00","587.70","579.00","574.95","584.00","583.95","584.14","802.30","502.00","3,32,146","19,40,19,211.50","8,376"
"28-Apr-2023","EQ","573.00","576.90","568.00","570.95","575.00","574.95","574.13","803.95","502.00","2,31,162","13,27,16,379.50","5,531"
"27-Apr-2023","EQ","568.05","576.90","565.80","565.80","570.00","570.95","571.25","803.95","502.00","2,45,506","14,02,45,547.35","6,859"
"26-Apr-2023","EQ","570.00","571.50","564.00","569.50","567.00","565.80","566.81","803.95","502.00","82,719","4,68,85,966.95","4,063"
"25-Apr-2023","EQ","571.90","571.90","563.00","568.90","569.00","569.50","567.29","803.95","502.00","92,414","5,24,25,934.50","5,144"
"24-Apr-2023","EQ","572.00","577.20","565.45","569.20","568.00","568.90","573.00","803.95","502.00","2,94,167","16,85,59,152.05","8,510"
"21-Apr-2023","EQ","557.00","575.40","555.90","553.90","568.00","569.20","566.35","809.20","502.00","1,79,125","10,14,46,713.35","7,808"
"20-Apr-2023","EQ","559.45","559.45","551.00","557.35","555.00","553.90","554.61","809.20","502.00","5,54,522","30,75,41,545.30","12,489"
"19-Apr-2023","EQ","566.50","571.05","556.00","566.25","558.60","557.35","561.61","809.20","502.00","3,14,646","17,67,09,453.85","13,816"
"18-Apr-2023","EQ","570.50","575.00","565.10","569.80","570.00","566.25","572.03","809.20","502.00","4,40,093","25,17,46,169.20","11,209"
"17-Apr-2023","EQ","574.95","574.95","568.30","574.05","570.00","569.80","571.40","809.20","502.00","1,93,610","11,06,28,246.50","6,366"
"13-Apr-2023","EQ","580.00","582.95","573.00","581.90","574.00","574.05","576.50","848.40","502.00","1,07,327","6,18,73,530.05","5,419"
"12-Apr-2023","EQ","579.80","583.10","579.00","579.80","581.00","581.90","581.97","848.40","502.00","2,02,718","11,79,76,682.85","6,128"
"11-Apr-2023","EQ","585.90","586.40","578.00","584.80","579.00","579.80","581.62","848.40","502.00","2,24,837","13,07,70,116.75","9,474"
"10-Apr-2023","EQ","580.00","590.90","567.70","578.20","590.85","584.80","579.52","848.40","502.00","2,64,930","15,35,32,342.35","8,738"
"06-Apr-2023","EQ","580.85","580.85","573.25","577.90","577.00","578.20","575.53","848.40","502.00","4,08,570","23,51,43,046.85","6,760"
"05-Apr-2023","EQ","580.90","583.00","572.10","580.90","576.75","577.90","575.59","848.40","502.00","3,20,782","18,46,39,410.50","10,046"
"03-Apr-2023","EQ","569.80","583.15","564.65","563.35","579.00","580.90","577.17","848.40","502.00","2,52,441","14,57,02,148.05","13,507"
"31-Mar-2023","EQ","552.35","570.80","550.30","555.70","563.80","563.35","560.53","848.40","502.00","4,31,113","24,16,53,160.05","15,989"
"29-Mar-2023","EQ","551.45","559.80","547.00","551.10","558.00","555.70","553.06","848.40","502.00","6,71,877","37,15,91,161.05","16,278"
